Title,LastName,PreferredName,Electorate,State,PartyAbb,Minister,Position
The Hon.,Allan,Jacinta,Bendigo East,Vic,ALP,"Minister for Transport Infrastructure, Minister for the Suburban Rail Loop",Leader of the House
Mr,Dimopoulos,Steve,Oakleigh,Vic,ALP,,"Parliamentary Secretary to the Premier, Parliamentary Secretary for Mental Health"
The Hon.,Spence,Ros,Yuroke,Vic,ALP,"Minister for Multicultural Affairs, Minister for Community Sport, Minister for Youth",
The Hon.,Thomas,Mary-Anne,Macedon,Vic,ALP,"Minister for Regional Development, Minister for Agriculture",
Ms,Blandthorn,Lizzie,Pascoe Vale,Vic,ALP,,
Ms,Staley,Louise,Ripon,Vic,LP,"Shadow Minister for Transport Infrastructure, Shadow Minister for Roads, Shadow Minister for Regional Recovery",Manager of Opposition Business
Ms,Kealy,Emma,Lowan,Vic,NAT,"Shadow Minister for Mental Health, Shadow Minister for Women, Shadow Minister for Prevention of Family Violence",
Mr,Pearson,Danny,Essendon,Vic,ALP,"Assistant Treasurer, Minister for Regulatory Reform, Minister for Government Services, Minister for Creative Industries",
The Hon.,Williams,Gabrielle,Dandenong,Vic,ALP,"Minister for Prevention of Family Violence, Minister for Women, Minister for Aboriginal Affairs",
Ms,Sheed,Suzanna,Shepparton,Vic,Ind,,
Ms,Couzens,Chris,Geelong,Vic,ALP,,
The Hon.,Donnellan,Luke,Narre Warren North,Vic,ALP,"Minister for Child Protection, Minister for Disability, Ageing and Carers",
Mr,Smith,Tim,Kew,Vic,LP,"Shadow Attorney-General, Shadow Minister for Finance, Shadow Minister for COVID-19 Recovery Coordination",
Ms,Ryan,Steph,Euroa,Vic,NAT,"Shadow Minister for Water, Shadow Minister for Gaming and Liquor Regulation, Shadow Minister for Public Transport",Deputy Leader of The Nationals
The Hon.,Wells,Kim,Rowville,Vic,LP,,
The Hon.,Wynne,Richard,Richmond,Vic,ALP,"Minister for Planning, Minister for Housing",
The Hon.,Andrews,Daniel,Mulgrave,Vic,ALP,Premier,Leader of the Labor Party
The Hon.,D'Ambrosio,Lily,Mill Park,Vic,ALP,"Minister for Energy, Environment and Climate Change, Minister for Solar Homes",
The Hon.,Eren,John,Lara,Vic,ALP,,
Ms,Green,Danielle,Yan Yean,Vic,ALP,,"Parliamentary Secretary for Sport, Parliamentary Secretary for Regional Victoria"
