Salutation,Surname,Pref-Filled Name,Electorate,State,Political Party,Parliamentary Title,Ministerial Title
Dr,Leigh,Andrew,Fenner,ACT,ALP,,
Ms,Payne,Alicia,Canberra,ACT,ALP,,
Mr,Smith,David,Bean,ACT,ALP,,
Mr,Albanese,Anthony,Grayndler,NSW,ALP,Leader of the Opposition,
Mr,Alexander,John,Bennelong,NSW,LP,,
Ms,Bird,Sharon,Cunningham,NSW,ALP,,
Mr,Bowen,Chris,McMahon,NSW,ALP,,
Mr,Burke,Tony,Watson,NSW,ALP,Manager of Opposition Business,
Ms,Burney,Linda,Barton,NSW,ALP,,
Mr,Clare,Jason,Blaxland,NSW,ALP,,
Ms,Claydon,Sharon,Newcastle,NSW,ALP,,
Mr,Coleman,David,Banks,NSW,LP,,Assistant Minister to the Prime Minister for Mental Health and Suicide Prevention
Mr,Conaghan,Pat,Cowper,NSW,NATS,,
Mr,Conroy,Pat,Shortland,NSW,ALP,,
Mr,Coulton,Mark,Parkes,NSW,NATS,,
Mrs,Elliot,Justine,Richmond,NSW,ALP,,
Mr,Falinski,Jason,Mackellar,NSW,LP,,
Mr,Fitzgibbon,Joel,Hunter,NSW,ALP,,
Mr,Fletcher,Paul,Bradfield,NSW,LP,,"Minister for Communications, Urban Infrastructure, Cities and the Arts"
Dr,Freelander,Mike,Macarthur,NSW,ALP,,
Mr,Gee,Andrew,Calare,NSW,NATS,,"Minister for Veterans' Affairs 
Minister for Defence Personnel"
Dr,Gillespie,David,Lyne,NSW,NATS,,"Minister Assisting the Minister for Trade and Investment 
Minister for Regional Health"
Mr,Hawke,Alex,Mitchell,NSW,LP,,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
Mr,Hayes,Chris,Fowler,NSW,ALP,Chief Opposition Whip,
Mr,Hogan,Kevin,Page,NSW,NATS,,"Assistant Minister to the Deputy Prime Minister 
Assistant Minister for Local Government"
Mr,Husic,Ed,Chifley,NSW,ALP,,
Mr,Jones,Stephen,Whitlam,NSW,ALP,,
