Name,Short name,URL name,Tags
Aboriginals Benefit Account Advisory Committee,ABA Advisory Committee,aba_advisory_committee,oaic_report_2011_2012 WA police social_services directory_gov_au foi_yes federal
Aboriginal Hostels Limited,AHL,ahl,directory_gov_au WA police social_services oaic_report_2011_2012 foi_yes federal
Administration of Norfolk Island,,administration_of_norfolk_island,oaic_report_2011_2012 WA police administration_of_norfolk_island foi_yes federal
Administrative Appeals Tribunal,AAT,aat,directory_gov_au WA police attorney_general oaic_report_2011_2012 foi_yes federal
Administrative Review Council,,administrative_review_council,oaic_report_2011_2012 WA police attorney_general directory_gov_au foi_yes federal
Admiralty Rules Committee,,admiralty_rules_committee,foi_yes WA police attorney_general oaic_report_2011_2012 federal
Advisory Committee on Biologicals,,advisory_committee_on_biologicals,health federal
Advisory Committee on Chemicals Scheduling,,advisory_committee_on_chemicals_scheduling,health oaic_report_2011_2012 foi_yes federal
Advisory Committee on Complementary Medicines,ACCM,accm,health federal
Advisory Committee on Medical Devices,,advisory_committee_on_medical_devices,oaic_report_2011_2012 health foi_yes federal
Advisory Committee on Medicines Scheduling,,advisory_committee_on_medicines_scheduling,health oaic_report_2011_2012 foi_yes federal
Advisory Committee on Non-prescription Medicines,,advisory_committee_on_non_prescription_medicines,health oaic_report_2011_2012 foi_yes federal
Advisory Committee on Prescription Medicines,,advisory_committee_on_prescription_medicines,oaic_report_2011_2012 health foi_yes federal
Advisory Committee on the Safety of Medical Devices,,advisory_committee_on_the_safety_of_medical_devices,health oaic_report_2011_2012 foi_yes federal
Advisory Committee on the Safety of Medicines,,advisory_committee_on_the_safety_of_medicines,oaic_report_2011_2012 health foi_yes federal
Aged Care Complaints Commissioner,,aged_care_complaints_commissioner,federal foi_yes oaic_report_2011_2012 social_services
Airservices Australia,Airservices,airservices,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal
Albury-Wodonga Corporation,AWC,awc,finance oaic_report_2011_2012 directory_gov_au foi_yes federal
ASC Pty Ltd,,asc_pty_ltd,federal foi_probably_not finance police
Assistant Treasurer,,assistant_treasurer,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury
Attorney-General,,attorney_general,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general
Attorney-General's Department,AGD,agd,oaic_report_2011_2012 attorney_general directory_gov_au federal foi_yes
Auditing and Assurance Standards Board,AUASB,auasb,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury
Australasian Procurement and Construction Council Inc,,australasian_procurement_and_construction_council_inc,foi_yes federal oaic_report_2011_2012 finance
Australia Council for the Arts,Australia Council,australia_council,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general
Australian Accounting Standards Board,AASB,aasb,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury
Australian Agency for International Development,AusAID,ausaid,defunct foreign_affairs_and_trade oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Broadcasting Corporation,ABC,abc,federal foi_yes directory_gov_au oaic_report_2011_2012 communications
Australian Bureau of Statistics,ABS,abs,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury
Australian Centre for International Agricultural Research,ACIAR,aciar,directory_gov_au foreign_affairs_and_trade oaic_report_2011_2012 federal foi_yes
Australian Commission for Law Enforcement Integrity,ACLEI,aclei,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general
Australian Commission on Safety and Quality in Health Care,ACSQHC,acsqhc,federal health oaic_report_2011_2012 directory_gov_au foi_yes
Australian Commission on Safety and Quality in Healthcare Board,,australian_commission_on_safety_and_quality_in_healthcare_board,foi_yes federal oaic_report_2011_2012 health
Australian Communications and Media Authority,ACMA,acma,oaic_report_2011_2012 communications directory_gov_au foi_yes federal
Australian Community Pharmacy Authority,ACPA,acpa,federal health oaic_report_2011_2012 directory_gov_au foi_yes
Australian Competition and Consumer Commission,ACCC,accc,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury
Australian Competition Tribunal,ACT,act,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury
Australian Crime Commission,ACC,acc,directory_gov_au foi_yes federal oaic_report_2011_2012 attorney_general
Australian Curriculum, Assessment and Reporting Authority,ACARA,acara,federal education_and_training oaic_report_2011_2012 directory_gov_au foi_yes
Australian Border Force,ABF,abf,immigration_and_border_protection directory_gov_au foi_yes federal oaic_report_2011_2012
